"Estuary","SampleEvent","Date","Section","StationName","Station","Temperature","Salinity","DissolvedOxygen","pH","Depth","SampleDepth","Secchi","TurbidityYSI","TurbidityHach"
"AB","COLL",2019-03-08,"W","Green Point",4,16.6,3.11,10.54,7.28,2,NA,1,NA,NA
"AB","COLL",2019-03-08,"W","Eleven Mile",5,16.1,10.66,10.02,7.57,1.5,NA,0.5,NA,NA
"AB","COLL",2019-03-08,"C","Halfmoon",6,14.9,0.07,9.3,6.92,2,NA,0.75,NA,NA
"AB","COLL",2019-03-08,"C","Lighthouse",7,15.7,8.24,10.02,7.61,1.5,NA,1,NA,NA
"AB","COLL",2019-03-08,"C","Normans",8,16.4,9.32,10.49,7.62,2.5,NA,1.25,NA,NA
"AB","COLL",2019-03-08,"C","Hotel",9,15.9,9.5,10.66,7.64,2,NA,1.5,NA,NA
"AB","COLL",2019-03-08,"C","East Lumps",10,15.8,10.05,9.89,7.53,1.75,NA,1,NA,NA
"AB","COLL",2019-03-08,"E","Cat Point",11,15.9,9.36,10.01,7.53,1.25,NA,1,NA,NA
"AB","COLL",2019-03-08,"E","Easthole",12,15.7,10.65,10.6,7.67,1.5,NA,1,NA,NA
"AB","COLL",2019-03-08,"E","Platform",13,16,11.5,10.26,7.64,1.75,NA,0.75,NA,NA
"AB","COLL",2019-03-08,"E","Porters",14,16,13.96,9.99,7.71,2,NA,1.75,NA,NA
"AB","COLL",2019-03-08,"E","Bulkhead",15,16.6,7.59,10.79,7.59,1.75,NA,1,NA,NA
"AB","COLL",2019-04-02,"W","Paradise Flats",1,18.3,11.99,9.14,7.59,1.25,NA,1,NA,NA
"AB","COLL",2019-04-02,"W","Cabbage Top",2,18.1,11.5,9.02,7.51,1.75,NA,1,NA,NA
"AB","COLL",2019-04-02,"W","Dry Bar North",3,18,11.08,9.04,7.48,1.75,NA,1,NA,NA
"AB","COLL",2019-04-02,"W","Green Point",4,18,11.48,9.02,7.63,2,NA,1.5,NA,NA
"AB","COLL",2019-04-02,"W","Eleven Mile",5,18.5,9.46,9.19,7.66,1,NA,0.5,NA,NA
"AB","COLL",2019-04-02,"C","Halfmoon",6,18.4,2.77,8.18,6.87,2,NA,1,NA,NA
"AB","COLL",2019-04-02,"C","Lighthouse",7,18.3,24.15,7.83,7.56,1.75,NA,1,NA,NA
"AB","COLL",2019-04-02,"C","Normans",8,18,15.57,8.59,7.52,2.5,NA,1.25,NA,NA
"AB","COLL",2019-04-02,"C","Hotel",9,18.3,16.34,8.57,7.58,2.25,NA,1,NA,NA
"AB","COLL",2019-04-02,"C","East Lumps",10,18,22.92,7.93,7.58,3.25,NA,1,NA,NA
"AB","COLL",2019-04-02,"E","Cat Point",11,18.2,23.43,7.98,7.54,1.5,NA,1.5,NA,NA
"AB","COLL",2019-04-02,"E","Easthole",12,18.4,22.16,8.08,7.56,1.75,NA,1.25,NA,NA
"AB","COLL",2019-04-02,"E","Platform",13,18.7,23.37,8.11,7.62,2,NA,1.75,NA,NA
"AB","COLL",2019-04-02,"E","Porters",14,18.5,27.88,7.95,7.59,2,NA,1.5,NA,NA
"AB","COLL",2019-04-02,"E","Bulkhead",15,18.4,16.74,8.44,7.54,2,NA,1.25,NA,NA
"AB","COLL",2019-05-03,"W","Paradise Flats",1,26.5,5,8.01,7.84,1.25,NA,0.5,NA,NA
"AB","COLL",2019-05-03,"W","Cabbage Top",2,26.5,4.07,8.52,7.89,2,NA,0.5,NA,NA
"AB","COLL",2019-05-03,"W","Dry Bar North",3,25.6,2.54,8.9,7.94,1.75,NA,0.5,NA,NA
"AB","COLL",2019-05-03,"W","Green Point",4,25.4,2.75,8.81,7.75,2.25,NA,0.5,NA,NA
"AB","COLL",2019-05-03,"W","Eleven Mile",5,26.7,4.49,8.15,8.07,1,NA,0.5,NA,NA
"AB","COLL",2019-05-03,"C","Halfmoon",6,25.2,15.45,3.6,7.35,2.25,NA,0.75,NA,NA
"AB","COLL",2019-05-03,"C","Lighthouse",7,25.7,18.7,6.86,7.86,1.75,NA,0.75,NA,NA
"AB","COLL",2019-05-03,"C","Normans",8,25,3.48,7.57,7.18,2.75,NA,1,NA,NA
"AB","COLL",2019-05-03,"C","Hotel",9,25.4,21.11,7.1,7.91,2,NA,0.75,NA,NA
"AB","COLL",2019-05-03,"C","East Lumps",10,25.8,15.27,6.71,7.65,2.5,NA,0.75,NA,NA
"AB","COLL",2019-05-03,"E","Cat Point",11,25.9,21.54,6.98,7.85,1.5,NA,1,NA,NA
"AB","COLL",2019-05-03,"E","Easthole",12,25.6,21.78,7.48,7.94,1.75,NA,1,NA,NA
"AB","COLL",2019-05-03,"E","Platform",13,25.6,25.33,7.39,7.9,1.5,NA,1,NA,NA
"AB","COLL",2019-05-03,"E","Porters",14,25.7,24.99,7.46,7.86,2.5,NA,2,NA,NA
"AB","COLL",2019-05-03,"E","Bulkhead",15,25.7,21.8,7.25,7.93,2,NA,0.75,NA,NA
"AB","COLL",2019-06-03,"W","Paradise Flats",1,30.9,29.27,6.78,8.19,1,NA,0.5,NA,NA
"AB","COLL",2019-06-03,"W","Cabbage Top",2,29.9,27.07,6.34,8.09,1.75,NA,0.75,NA,NA
"AB","COLL",2019-06-03,"W","Dry Bar North",3,29.6,28.86,7.06,8.15,2,NA,1,NA,NA
"AB","COLL",2019-06-03,"W","Green Point",4,29.6,29.33,6.7,8.12,2.25,NA,0.75,NA,NA
"AB","COLL",2019-06-03,"W","Eleven Mile",5,30.1,33.07,6.67,8.12,1.25,NA,0.5,NA,NA
"AB","COLL",2019-06-03,"C","Halfmoon",6,29.5,13.46,6.24,8.06,2.25,NA,0.75,NA,NA
"AB","COLL",2019-06-03,"C","Lighthouse",7,29.5,18.83,6.11,8.17,2,NA,0.75,NA,NA
"AB","COLL",2019-06-03,"C","Normans",8,29.6,22.29,8.01,8.28,2.75,NA,1,NA,NA
"AB","COLL",2019-06-03,"C","Hotel",9,29.6,23.9,6.33,8.14,2,NA,1,NA,NA
"AB","COLL",2019-06-03,"C","East Lumps",10,29.2,15.28,6.05,8.1,2.5,NA,0.75,NA,NA
"AB","COLL",2019-06-03,"E","Cat Point",11,26.4,14.94,5.97,8.03,2,NA,0.5,NA,NA
"AB","COLL",2019-06-03,"E","Easthole",12,29.4,16.22,7.61,8.29,1.75,NA,1,NA,NA
"AB","COLL",2019-06-03,"E","Platform",13,29.3,16.11,7.12,8.22,2,NA,0.75,NA,NA
"AB","COLL",2019-06-03,"E","Porters",14,29.1,17.67,7.14,8.17,2.5,NA,1,NA,NA
"AB","COLL",2019-06-03,"E","Bulkhead",15,29.3,16.08,6.77,8.16,2,NA,1,NA,NA
"AB","COLL",2019-07-01,"C","Halfmoon",6,31,21.4,6.46,8.38,2.25,NA,1,NA,NA
"AB","COLL",2019-07-01,"C","Lighthouse",7,30.6,23.53,6.35,8.38,2,NA,0.75,NA,NA
"AB","COLL",2019-07-01,"C","East Lumps",10,30.7,22.76,6.43,8.4,2.75,NA,0.75,NA,NA
"AB","COLL",2019-07-01,"E","Cat Point",11,30.6,24.21,6.32,8.36,1.75,NA,0.75,NA,NA
"AB","COLL",2019-08-01,"W","Paradise Flats",1,30.8,18.32,7.32,8.61,1.5,NA,0.75,NA,NA
"AB","COLL",2019-08-01,"W","Cabbage Top",2,30.4,15.21,7.47,8.71,2,NA,1,NA,NA
"AB","COLL",2019-08-01,"W","Dry Bar North",3,30.8,18.61,7.8,8.66,2,NA,1,NA,NA
"AB","COLL",2019-08-01,"W","Green Point",4,31.1,20.32,7.73,8.65,2.25,NA,1,NA,NA
"AB","COLL",2019-08-01,"W","Eleven Mile",5,31.6,26.28,6.49,8.54,2,NA,0.75,NA,NA
"AB","COLL",2019-08-01,"C","Halfmoon",6,31,23.01,6.59,8.51,2.5,NA,0.75,NA,NA
"AB","COLL",2019-08-01,"C","Lighthouse",7,30.5,26.25,6.31,8.47,2,NA,1,NA,NA
"AB","COLL",2019-08-01,"C","Normans",8,30.7,26.19,6.8,8.53,3,NA,1,NA,NA
"AB","COLL",2019-08-01,"C","Hotel",9,30.6,26.67,6.99,8.56,2.25,NA,1.25,NA,NA
"AB","COLL",2019-08-01,"C","East Lumps",10,30.4,27.23,6.24,8.46,2.25,NA,1,NA,NA
"AB","COLL",2019-08-01,"E","Cat Point",11,30.4,27.58,6.25,8.49,1.75,NA,1,NA,NA
"AB","COLL",2019-08-01,"E","Easthole",12,30.4,25.92,7.15,8.6,2,NA,1,NA,NA
"AB","COLL",2019-08-01,"E","Platform",13,30.4,28.72,6.86,8.63,2.25,NA,1.25,NA,NA
"AB","COLL",2019-08-01,"E","Porters",14,30.1,29.35,6.61,8.93,2.25,NA,1.25,NA,NA
"AB","COLL",2019-08-01,"E","Bulkhead",15,30.5,26.94,7,8.56,2,NA,1,NA,NA
"AB","COLL",2019-09-09,"W","Paradise Flats",1,30.6,28.11,7.53,8.26,1.5,NA,0.75,NA,NA
"AB","COLL",2019-09-09,"W","Cabbage Top",2,30.4,26.52,7.7,8.28,2.25,NA,1,NA,NA
"AB","COLL",2019-09-09,"W","Dry Bar North",3,29.9,25.89,6.97,8.18,1.75,NA,1.25,NA,NA
"AB","COLL",2019-09-09,"W","Green Point",4,30.1,24.88,7.16,8.22,2.25,NA,1,NA,NA
"AB","COLL",2019-09-09,"W","Eleven Mile",5,30.5,31.56,6.89,8.15,1.25,NA,1,NA,NA
"AB","COLL",2019-09-09,"C","Halfmoon",6,29.8,11.59,6.81,8.2,2.5,NA,1,NA,NA
"AB","COLL",2019-09-09,"C","Lighthouse",7,29.7,17.05,6.97,8.16,2,NA,1,NA,NA
"AB","COLL",2019-09-09,"C","Normans",8,30,23.32,7.02,8.19,3,NA,1.5,NA,NA
"AB","COLL",2019-09-09,"C","Hotel",9,29.7,21.53,6.96,8.21,2.25,NA,1.5,NA,NA
"AB","COLL",2019-09-09,"C","East Lumps",10,30.6,20.15,4.95,8.08,2.25,NA,1,NA,NA
"AB","COLL",2019-09-09,"E","Cat Point",11,30.3,19.68,6.09,8.1,2,NA,1,NA,NA
"AB","COLL",2019-09-09,"E","Easthole",12,30.1,21.07,5.79,8.11,2,NA,1,NA,NA
"AB","COLL",2019-09-09,"E","Platform",13,30,22.11,5.67,8.07,2,NA,1,NA,NA
"AB","COLL",2019-09-09,"E","Porters",14,30.1,21.77,6.62,8.16,2.25,NA,1.5,NA,NA
"AB","COLL",2019-09-09,"E","Bulkhead",15,30,20.68,6.87,8.19,2.25,NA,1.25,NA,NA
"AB","COLL",2019-10-01,"C","Halfmoon",6,29.1,21.91,6.01,8.26,2.25,NA,0.75,NA,NA
"AB","COLL",2019-10-01,"C","Lighthouse",7,29,30.75,5.79,8.17,1.75,NA,1,NA,NA
"AB","COLL",2019-10-01,"C","East Lumps",10,29,31.03,6,8.2,2.25,NA,1,NA,NA
"AB","COLL",2019-10-01,"E","Cat Point",11,28.9,32.1,6.04,8.18,1.5,NA,1,NA,NA
"AB","COLL",2019-11-06,"C","Halfmoon",6,20.8,31.96,6.82,7.96,2.25,NA,0.75,NA,NA
"AB","COLL",2019-11-06,"C","Lighthouse",7,21.1,32.64,7.27,7.93,2,NA,1,NA,NA
"AB","COLL",2019-11-06,"C","East Lumps",10,21.3,32.77,7.08,7.94,2.5,NA,1,NA,NA
"AB","COLL",2019-11-06,"E","Cat Point",11,21.2,32.89,7.04,7.94,1.75,NA,0.75,NA,NA
"AB","COLL",2019-12-03,"W","Paradise Flats",1,13.5,33.66,8.76,8.89,1,NA,0.75,NA,NA
"AB","COLL",2019-12-03,"W","Cabbage Top",2,14.1,32,8.6,8.87,1.5,NA,1,NA,NA
"AB","COLL",2019-12-03,"W","Dry Bar North",3,13.8,29.23,8.7,8.94,1.5,NA,1.25,NA,NA
"AB","COLL",2019-12-03,"W","Green Point",4,15.6,28.3,8.67,8.84,1.75,NA,1,NA,NA
"AB","COLL",2019-12-03,"W","Eleven Mile",5,15.8,34.26,7.98,8.79,1.25,NA,0.75,NA,NA
"AB","COLL",2019-12-03,"C","Halfmoon",6,17.5,26.43,7.38,8.8,2,NA,1.25,NA,NA
"AB","COLL",2019-12-03,"C","Lighthouse",7,13.9,12.31,9.42,8.9,1.5,NA,1,NA,NA
"AB","COLL",2019-12-03,"C","Normans",8,14.5,15.99,9.4,9.01,2.25,NA,1,NA,NA
"AB","COLL",2019-12-03,"C","Hotel",9,14.8,17.72,9.34,9.03,2,NA,1.25,NA,NA
"AB","COLL",2019-12-03,"C","East Lumps",10,14.7,17.55,9.07,9.03,2,NA,1,NA,NA
"AB","COLL",2019-12-03,"E","Cat Point",11,14.9,18.04,8.68,9.01,1.25,NA,1,NA,NA
"AB","COLL",2019-12-03,"E","Easthole",12,14.6,19.25,9.09,9.02,1.25,NA,1,NA,NA
"AB","COLL",2019-12-03,"E","Platform",13,15.2,19.78,8.97,9.01,1.75,NA,1.25,NA,NA
"AB","COLL",2019-12-03,"E","Porters",14,16.5,21.52,8.39,8.91,1.75,NA,1.25,NA,NA
"AB","COLL",2019-12-03,"E","Bulkhead",15,14.8,17.43,9.46,9.05,1.75,NA,1.5,NA,NA
"AB","COLL",2020-01-07,"W","Paradise Flats",1,14.3,9.41,10.47,8.32,1,NA,0.75,NA,NA
"AB","COLL",2020-01-07,"W","Cabbage Top",2,16,23.08,11.3,8.44,1.5,NA,1.25,NA,NA
"AB","COLL",2020-01-07,"W","Dry Bar North",3,15.5,11.97,10.07,8.3,1.5,NA,1,NA,NA
"AB","COLL",2020-01-07,"W","Green Point",4,15.4,11.17,10.24,8.3,2,NA,1.5,NA,NA
"AB","COLL",2020-01-07,"W","Eleven Mile",5,15.6,25.07,9.61,8.29,0.75,NA,0.25,NA,NA
"AB","COLL",2020-01-07,"C","Halfmoon",6,14.5,0.29,7.51,7.08,1.75,NA,0.75,NA,NA
"AB","COLL",2020-01-07,"C","Lighthouse",7,16.1,13.42,8.35,8.39,1.5,NA,0.75,NA,NA
"AB","COLL",2020-01-07,"C","Normans",8,15.7,19.57,9.07,8.23,2.25,NA,1,NA,NA
"AB","COLL",2020-01-07,"C","Hotel",9,15.6,14.85,9.48,8.22,1.75,NA,1,NA,NA
"AB","COLL",2020-01-07,"C","East Lumps",10,16,12.36,7.88,8.01,2,NA,0.75,NA,NA
"AB","COLL",2020-01-07,"E","Cat Point",11,15.8,11.18,8.48,8.02,1.25,NA,1,NA,NA
"AB","COLL",2020-01-07,"E","Easthole",12,14.8,6.6,9.4,7.94,1.5,NA,1,NA,NA
"AB","COLL",2020-01-07,"E","Platform",13,15.5,10.6,9.94,8.3,1.5,NA,1.25,NA,NA
"AB","COLL",2020-01-07,"E","Porters",14,16.6,17.65,7.61,8,2,NA,1.25,NA,NA
"AB","COLL",2020-01-07,"E","Bulkhead",15,15.3,6.63,9.42,7.85,1.75,NA,1.25,NA,NA
"AB","COLL",2020-02-03,"W","Paradise Flats",1,14.6,11.09,11.61,8.67,1,NA,1,NA,NA
"AB","COLL",2020-02-03,"W","Cabbage Top",2,14.3,11.43,13.74,8.84,1.75,NA,1,NA,NA
"AB","COLL",2020-02-03,"W","Dry Bar North",3,13.8,9.49,11.49,8.64,1.75,NA,1.75,NA,NA
"AB","COLL",2020-02-03,"W","Green Point",4,13.4,10.4,11.45,8.51,1.75,NA,1.25,NA,NA
"AB","COLL",2020-02-03,"W","Eleven Mile",5,14.1,7.43,11.72,8.71,1,NA,1,NA,NA
"AB","COLL",2020-02-03,"C","Halfmoon",6,13.4,6.22,9.99,8,2,NA,1,NA,NA
"AB","COLL",2020-02-03,"C","Lighthouse",7,13.6,9.31,10.24,8.07,1.75,NA,1.75,NA,NA
"AB","COLL",2020-02-03,"C","Normans",8,13.7,8.47,10.55,8.47,2.5,NA,1.5,NA,NA
"AB","COLL",2020-02-03,"C","Hotel",9,13.6,8.12,10.33,8.16,2,NA,1.25,NA,NA
"AB","COLL",2020-02-03,"C","East Lumps",10,13.6,8.59,10.18,8.16,2,NA,1.5,NA,NA
"AB","COLL",2020-02-03,"E","Cat Point",11,13.8,16.49,10.33,8.27,1.5,NA,1.25,NA,NA
"AB","COLL",2020-02-03,"E","Easthole",12,13.5,7.9,10.25,8.12,1.5,NA,1.25,NA,NA
"AB","COLL",2020-02-03,"E","Platform",13,13.3,8.11,10.19,8.07,1.25,NA,1.25,NA,NA
"AB","COLL",2020-02-03,"E","Porters",14,13.6,12.79,10.17,8.18,2,NA,2,NA,NA
"AB","COLL",2020-02-03,"E","Bulkhead",15,13.5,7.36,10.38,8.1,1.75,NA,1.75,NA,NA
"AB","COLL",2020-03-03,"C","Halfmoon",6,15.7,0.05,8.32,6.77,2.5,NA,0.5,NA,NA
"AB","COLL",2020-03-03,"C","Lighthouse",7,15.5,0.05,9.02,6.62,2,NA,0.5,NA,NA
"AB","COLL",2020-03-03,"C","East Lumps",10,15.7,0.12,9.2,6.62,2.25,NA,0.5,NA,NA
"AB","COLL",2020-03-03,"E","Cat Point",11,16.1,0.31,9.27,7.04,2,NA,0.5,NA,NA
"AB","COLL",2020-06-03,"C","Halfmoon",6,28.4,20.53,5.5,8,2.25,NA,0.75,NA,NA
"AB","COLL",2020-06-03,"C","Lighthouse",7,28.1,24.05,6.33,8.36,2.5,NA,0.75,NA,NA
"AB","COLL",2020-06-03,"C","East Lumps",10,28.1,24.81,6.03,7.99,2.25,NA,1,NA,NA
"AB","COLL",2020-06-03,"E","Cat Point",11,27.8,26.02,6.47,8.07,2,NA,1,NA,NA
"AB","COLL",2020-07-09,"C","Halfmoon",6,28.9,23.12,6.09,8.22,2.25,NA,1,NA,NA
"AB","COLL",2020-07-09,"E","Cat Point",11,28.6,20.42,6.57,8.09,1.75,NA,0.5,NA,NA
"AB","COLL",2020-08-03,"W","Paradise Flats",1,30.4,31.93,6.2,8.01,1.75,NA,0.75,NA,NA
"AB","COLL",2020-08-03,"W","Cabbage Top",2,30.1,30.34,6.05,7.96,2,NA,0.75,NA,NA
"AB","COLL",2020-08-03,"W","Dry Bar North",3,30.6,28.82,6.75,8.06,2,NA,0.75,NA,NA
"AB","COLL",2020-08-03,"W","Green Point",4,30.7,27.76,6.64,8.02,2.25,NA,1,NA,NA
"AB","COLL",2020-08-03,"W","Eleven Mile",5,31,34.36,6.73,8.05,1.5,NA,0.75,NA,NA
"AB","COLL",2020-08-03,"C","Halfmoon",6,29.4,14.19,6.98,8.19,2.5,NA,1,NA,NA
"AB","COLL",2020-08-03,"C","Lighthouse",7,30.6,23.72,5.28,8.15,2,NA,0.75,NA,NA
"AB","COLL",2020-08-03,"C","Normans",8,30.6,23.5,6.94,8.17,2.75,NA,1.25,NA,NA
"AB","COLL",2020-08-03,"C","Hotel",9,30.4,25.37,5.93,8.09,2,NA,1.25,NA,NA
"AB","COLL",2020-08-03,"C","East Lumps",10,30.2,20.71,6.18,8.11,2.25,NA,0.75,NA,NA
"AB","COLL",2020-08-03,"E","Cat Point",11,30.2,21.02,6.04,8.1,1.5,NA,0.75,NA,NA
"AB","COLL",2020-08-03,"E","Easthole",12,30.2,20.55,6.5,8.13,1.75,NA,1,NA,NA
"AB","COLL",2020-08-03,"E","Platform",13,30,22.56,6.03,8.14,1.75,NA,0.75,NA,NA
"AB","COLL",2020-08-03,"E","Porters",14,30.1,24.33,6.55,8.49,2.5,NA,0.75,NA,NA
"AB","COLL",2020-08-03,"E","Bulkhead",15,30.5,21.19,6.32,8.11,2.25,NA,0.75,NA,NA
"AB","COLL",2020-09-02,"W","Paradise Flats",1,30.2,31.62,6.5,7.88,1.25,NA,0.75,NA,NA
"AB","COLL",2020-09-02,"W","Cabbage Top",2,29.8,31.38,6.98,7.98,1.75,NA,0.75,NA,NA
"AB","COLL",2020-09-02,"W","Dry Bar North",3,29.6,32.24,6.53,7.81,1.75,NA,1,NA,NA
"AB","COLL",2020-09-02,"W","Green Point",4,29.5,30,6.45,7.82,2,NA,1,NA,NA
"AB","COLL",2020-09-02,"W","Eleven Mile",5,30.5,33.11,6.97,7.88,1,NA,0.5,NA,NA
"AB","COLL",2020-09-02,"C","Halfmoon",6,29.3,15.74,5.74,7.71,2.25,NA,1,NA,NA
"AB","COLL",2020-09-02,"C","Lighthouse",7,29.4,20.42,5.86,8.09,2,NA,0.75,NA,NA
"AB","COLL",2020-09-02,"C","Normans",8,29.2,29.15,5.66,7.75,2.5,NA,1,NA,NA
"AB","COLL",2020-09-02,"C","Hotel",9,29.3,28.5,5.63,7.85,2,NA,1,NA,NA
"AB","COLL",2020-09-02,"C","East Lumps",10,29.3,18.4,6.04,7.95,2.25,NA,0.5,NA,NA
"AB","COLL",2020-09-02,"E","Cat Point",11,29.3,17.62,6.03,8.18,1.5,NA,0.5,NA,NA
"AB","COLL",2020-09-02,"E","Easthole",12,29.6,19.03,6.99,7.86,1.5,NA,1,NA,NA
"AB","COLL",2020-09-02,"E","Platform",13,29.2,18.78,6.99,7.94,2.25,NA,1,NA,NA
"AB","COLL",2020-09-02,"E","Porters",14,29.2,19.59,6.09,7.86,2.5,NA,1,NA,NA
"AB","COLL",2020-09-02,"E","Bulkhead",15,29.5,18.75,7.33,7.97,2.5,NA,1,NA,NA
"AB","COLL",2020-10-01,"W","Paradise Flats",1,23.1,8.86,7.86,7.97,1.25,NA,0.75,NA,NA
"AB","COLL",2020-10-01,"W","Cabbage Top",2,23.1,7.08,7.08,7.7,2,NA,0.75,NA,NA
"AB","COLL",2020-10-01,"W","Dry Bar North",3,24.5,9.19,7.14,7.63,2.25,NA,0.75,NA,NA
"AB","COLL",2020-10-01,"W","Green Point",4,22.6,2.89,5.99,7.49,2,NA,0.5,NA,NA
"AB","COLL",2020-10-01,"W","Eleven Mile",5,23.7,10.05,6.85,7.88,1.25,NA,0.75,NA,NA
"AB","COLL",2020-10-01,"C","Halfmoon",6,21.7,0.1,5.65,7.59,2.25,NA,0.75,NA,NA
"AB","COLL",2020-10-01,"C","Lighthouse",7,23.8,6.61,5.35,7.49,2,NA,0.75,NA,NA
"AB","COLL",2020-10-01,"C","Normans",8,24.1,5.54,7.05,7.02,3,NA,1,NA,NA
"AB","COLL",2020-10-01,"C","Hotel",9,23.9,5.91,6.95,7.04,2.25,NA,0.75,NA,NA
"AB","COLL",2020-10-01,"C","East Lumps",10,23.8,7.76,4.77,7.09,2.25,NA,0.75,NA,NA
"AB","COLL",2020-10-01,"E","Cat Point",11,23.7,6.69,5.37,7.07,1.5,NA,0.75,NA,NA
"AB","COLL",2020-10-01,"E","Easthole",12,23.7,6.59,7.63,7.53,2,NA,0.75,NA,NA
"AB","COLL",2020-10-01,"E","Platform",13,23.5,8.87,6.68,7.41,2.25,NA,1,NA,NA
"AB","COLL",2020-10-01,"E","Porters",14,24.6,13.43,5.59,7.73,2.25,NA,0.75,NA,NA
"AB","COLL",2020-10-01,"E","Bulkhead",15,24,6.49,6.1,7.15,2.25,NA,0.75,NA,NA
"AB","COLL",2020-11-03,"W","Paradise Flats",1,17.3,13.75,9.44,7.98,1,NA,0.5,NA,NA
"AB","COLL",2020-11-03,"W","Cabbage Top",2,17.8,14.94,9.03,8.11,1.5,NA,0.75,NA,NA
"AB","COLL",2020-11-03,"W","Dry Bar North",3,17.8,15.07,8.66,8.07,1.5,NA,0.75,NA,NA
"AB","COLL",2020-11-03,"W","Green Point",4,18.9,13.4,8.46,8.06,1.75,NA,1,NA,NA
"AB","COLL",2020-11-03,"W","Eleven Mile",5,18,19.56,8.83,8.15,1,NA,0.75,NA,NA
"AB","COLL",2020-11-03,"C","Halfmoon",6,18.3,5.14,7.77,7.96,2,NA,0.75,NA,NA
"AB","COLL",2020-11-03,"C","Lighthouse",7,18.2,22.73,8.16,8.83,1.5,NA,0.75,NA,NA
"AB","COLL",2020-11-03,"C","Normans",8,19.1,21.8,8.4,8.25,2.25,NA,0.75,NA,NA
"AB","COLL",2020-11-03,"C","Hotel",9,18.9,24.7,7.8,8.13,1.75,NA,0.5,NA,NA
"AB","COLL",2020-11-03,"C","East Lumps",10,18.4,26.72,7.65,8.22,1.75,NA,1.25,NA,NA
"AB","COLL",2020-11-03,"E","Cat Point",11,19.1,27.64,7.51,8.2,1.25,NA,1,NA,NA
"AB","COLL",2020-11-03,"E","Easthole",12,18.9,26.58,7.75,8.18,1.25,NA,0.75,NA,NA
"AB","COLL",2020-11-03,"E","Platform",13,19.6,30.07,7.39,8.3,1.75,NA,0.75,NA,NA
"AB","COLL",2020-11-03,"E","Porters",14,19.8,29.14,7.38,8.25,1.75,NA,0.75,NA,NA
"AB","COLL",2020-11-03,"E","Bulkhead",15,19.1,25.32,7.96,8.22,1.5,NA,0.75,NA,NA
"AB","COLL",2020-12-02,"W","Paradise Flats",1,13.1,18.05,10.31,8.16,0.5,NA,0.5,NA,NA
"AB","COLL",2020-12-02,"W","Cabbage Top",2,12.6,18.05,10.06,8.19,1.25,NA,1,NA,NA
"AB","COLL",2020-12-02,"W","Dry Bar North",3,14.1,19.37,9.96,8.17,1.25,NA,1.25,NA,NA
"AB","COLL",2020-12-02,"W","Green Point",4,14.5,18.92,10.3,8.39,1.5,NA,1,NA,NA
"AB","COLL",2020-12-02,"W","Eleven Mile",5,13.8,25.48,9.11,8.11,1,NA,0.5,NA,NA
"AB","COLL",2020-12-02,"C","Halfmoon",6,16.7,13.44,7.52,8.01,1.5,NA,0.75,NA,NA
"AB","COLL",2020-12-02,"C","Lighthouse",7,15,10.13,9.7,8.47,1.25,NA,1,NA,NA
"AB","COLL",2020-12-02,"C","Normans",8,14.8,17.61,8.9,NA,2.25,NA,1.25,NA,NA
"AB","COLL",2020-12-02,"C","Hotel",9,14.4,17.03,9.63,8.11,1.5,NA,1.5,NA,NA
"AB","COLL",2020-12-02,"C","East Lumps",10,15.1,11.32,9.49,8.13,1.5,NA,1,NA,NA
"AB","COLL",2020-12-02,"E","Cat Point",11,14.8,14.79,9.05,8.32,1,NA,1,NA,NA
"AB","COLL",2020-12-02,"E","Easthole",12,14.1,16.97,9.12,8.07,1.25,NA,1.25,NA,NA
"AB","COLL",2020-12-02,"E","Platform",13,14.5,18.83,8.95,8.05,1,NA,0.75,NA,NA
"AB","COLL",2020-12-02,"E","Porters",14,15.5,19.39,8.54,8.02,1.25,NA,1,NA,NA
"AB","COLL",2020-12-02,"E","Bulkhead",15,14.8,17.16,8.93,8.08,1.5,NA,1.25,NA,NA
"AB","COLL",2021-01-14,"W","Paradise Flats",1,11.9,18.03,11.85,8.24,1,NA,1,NA,NA
"AB","COLL",2021-01-14,"W","Cabbage Top",2,10.3,9.15,11.23,8.11,1.5,NA,1,NA,NA
"AB","COLL",2021-01-14,"W","Dry Bar North",3,10.5,5.68,10.96,8.18,1,NA,0.5,NA,NA
"AB","COLL",2021-01-14,"W","Green Point",4,11,9.39,10.61,8.36,1.25,NA,0.75,NA,NA
"AB","COLL",2021-01-14,"W","Eleven Mile",5,14.3,28.3,9.13,8.15,1.25,NA,0.75,NA,NA
"AB","COLL",2021-01-14,"C","Halfmoon",6,11.4,6.02,9.26,7.4,1.75,NA,0.75,NA,NA
"AB","COLL",2021-01-14,"C","Lighthouse",7,11.9,10.89,9.04,8.15,1.25,NA,0.75,NA,NA
"AB","COLL",2021-01-14,"C","Normans",8,10.8,5.91,10.21,7.62,2,NA,1,NA,NA
"AB","COLL",2021-01-14,"C","Hotel",9,13.2,23.36,8.1,8.07,1.5,NA,1.25,NA,NA
"AB","COLL",2021-01-14,"C","East Lumps",10,11.7,10.36,9.29,7.92,1.5,NA,0.75,NA,NA
"AB","COLL",2021-01-14,"E","Cat Point",11,11.6,10.79,9.48,8.01,1,NA,0.5,NA,NA
"AB","COLL",2021-01-14,"E","Easthole",12,11.4,10.16,9.96,7.89,1,NA,1,NA,NA
"AB","COLL",2021-01-14,"E","Platform",13,11.4,10.5,9.85,7.99,1.5,NA,0.75,NA,NA
